FIPS,STATE,COUNTY,POORHLTH,PCP,AIRPOL,RECFAC,FOODHLTH
01001,Alabama,Autauga,3,2,2,1,4
01003,Alabama,Baldwin,1,1,1,1,1
01005,Alabama,Barbour,4,3,4,3,2
01007,Alabama,Bibb,3,4,1,3,4
01009,Alabama,Blount,4,4,2,2,4
01011,Alabama,Bullock,4,3,4,3,3
01013,Alabama,Butler,2,3,3,3,2
01015,Alabama,Calhoun,4,1,4,2,3
01017,Alabama,Chambers,2,2,3,2,1
01019,Alabama,Cherokee,4,4,3,3,1
01021,Alabama,Chilton,4,4,2,2,4
01023,Alabama,Choctaw,4,2,2,3,2
01025,Alabama,Clarke,1,1,2,2,2
01027,Alabama,Clay,2,2,1,3,1
01029,Alabama,Cleburne,4,4,4,3,1
01031,Alabama,Coffee,1,3,4,1,2
01033,Alabama,Colbert,3,1,1,2,4
01035,Alabama,Conecuh,3,2,3,3,3
01037,Alabama,Coosa,1,4,4,3,2
01039,Alabama,Covington,1,2,3,2,1
01041,Alabama,Crenshaw,2,4,4,3,3
01043,Alabama,Cullman,2,2,1,3,1
01045,Alabama,Dale,3,4,4,3,1
01047,Alabama,Dallas,1,1,2,3,2
01049,Alabama,DeKalb,2,4,1,2,1
01051,Alabama,Elmore,2,3,2,3,4
01053,Alabama,Escambia,2,2,1,2,2
01055,Alabama,Etowah,3,1,3,1,3
01057,Alabama,Fayette,4,1,1,3,1
01059,Alabama,Franklin,4,2,1,1,1
01061,Alabama,Geneva,1,3,4,3,4
01063,Alabama,Greene,2,3,1,3,4
01065,Alabama,Hale,2,4,1,3,4
01067,Alabama,Henry,1,4,4,2,4
01069,Alabama,Houston,2,1,3,2,3
01071,Alabama,Jackson,4,1,1,3,1
01073,Alabama,Jefferson,1,1,4,1,3
01075,Alabama,Lamar,4,4,1,3,1
01077,Alabama,Lauderdale,2,2,1,1,3
01079,Alabama,Lawrence,2,3,1,3,4
01081,Alabama,Lee,1,2,2,2,4
01083,Alabama,Limestone,1,3,1,3,4
01085,Alabama,Lowndes,4,4,3,1,4
01087,Alabama,Macon,1,3,4,3,2
01089,Alabama,Madison,1,1,1,1,3
01091,Alabama,Marengo,3,2,2,1,2
01093,Alabama,Marion,2,4,1,3,1
01095,Alabama,Marshall,3,1,3,3,1
01097,Alabama,Mobile,2,1,2,2,3
01099,Alabama,Monroe,3,2,4,3,3
01101,Alabama,Montgomery,1,1,2,1,3
01103,Alabama,Morgan,1,1,1,2,3
01105,Alabama,Perry,4,3,2,3,2
01107,Alabama,Pickens,3,2,1,1,2
01109,Alabama,Pike,3,2,4,2,2
01111,Alabama,Randolph,3,3,4,3,2
01113,Alabama,Russell,3,3,2,1,3
01115,Alabama,St. Clair,2,4,2,3,4
01117,Alabama,Shelby,1,1,1,1,2
01119,Alabama,Sumter,2,3,1,1,3
01121,Alabama,Talladega,4,3,2,3,1
01123,Alabama,Tallapoosa,2,2,2,2,2
01125,Alabama,Tuscaloosa,2,1,1,1,3
01127,Alabama,Walker,4,2,2,1,4
01129,Alabama,Washington,1,4,2,2,2
01131,Alabama,Wilcox,2,3,4,3,4
01133,Alabama,Winston,4,4,1,3,1
02013,Alaska,Aleutians East,NR,NR,NR,NR,NR
02016,Alaska,Aleutians West,1,4,1,2,NR
02020,Alaska,Anchorage,2,2,1,2,NR
02050,Alaska,Bethel,2,3,1,2,NR
02060,Alaska,Bristol Bay,NR,NR,NR,NR,NR
02068,Alaska,Denali,NR,NR,NR,NR,NR
02070,Alaska,Dillingham,1,1,1,2,NR
02090,Alaska,Fairbanks North Star,2,4,1,2,NR
02100,Alaska,Haines,1,1,1,2,NR
02110,Alaska,Juneau,2,1,1,1,NR
02122,Alaska,Kenai Peninsula,3,3,1,1,NR
02130,Alaska,Ketchikan Gateway,3,2,1,1,NR
02150,Alaska,Kodiak Island,1,1,1,2,NR
02164,Alaska,Lake and Peninsula,1,2,1,2,NR
02170,Alaska,Matanuska-Susitna,3,4,1,2,NR
02180,Alaska,Nome,2,3,1,2,NR
02185,Alaska,North Slope,3,4,1,1,NR
02188,Alaska,Northwest Arctic,4,4,1,2,NR
02201,Alaska,Prince of Wales-Outer Ketchikan,4,3,1,2,NR
02220,Alaska,Sitka,2,1,1,1,NR
02232,Alaska,Skagway-Hoonah-Angoon,1,2,1,2,NR
02240,Alaska,Southeast Fairbanks,4,4,1,2,NR
